ANO_CENSO,TOTAL_MATRICULADOS,MATRICULADOS_NEGROS,ALU_NEGROS_COTA,NEGROS_PART_FINAN,NEGROS_PUBLICA,TOTAL_PUBLICA,TOTAL_BACHARELADO_GERAL,NEGROS_BACHARELADO_GERAL,TOTAL_BACHARELADO_PUBLICA,NEGROS_BACHARELADO_PUBLICA,Negras_BACHARELADO_PUBLICA,NEGROS_BACHARELADO_CONCL,TOTAL_TECNOLOGO_GERAL,TOTAL_TECNOLOGO_PUBLICA,NEGROS_TECNOLOGO_GERAL,NEGROS_TECNOLOGO_PUBLICA,Negras_TECNOLOGO_PUBLICA,NEGROS_TECNOLOGO_CONCL,NEGROS_CONCL_COM_BOLSA,TOTAL_EM_PUBLICO_GERAL,NEGROS_EM_PUBLICO_GERAL,TOTAL_EM_PUBLICO_PUBLICA,NEGROS_EM_PUBLICO_PUBLICA,NEGROS_EM_PUBLICO_FIN,NEGROS_CONCL_GERAL,NEGROS_CONCL_PUBLICA,NEGROS_CONCL_PART_FIN,NEGROS_NOT_PUBLICA,NEGROS_NOT_CONCL_PUBLICA,NEGROS_INT_PUBLICA,NEGROS_INT_CONCL_PUBLICA
2019,8604526,669516,260212,210637,259878,1808953,6323709,503471,1631154,243821,126482,20945,6323709,1631154,74930,11082,4952,1154,7440,5231728,455277,1149429,252051,169498,0,22099,32599,78058,6468,173553,15143
2018,7949430,609788,219882,192472,218636,1629381,5895076,464511,1495439,205402,106575,14522,5895076,1495439,60655,8153,3495,715,4625,4661247,402473,962482,210653,152583,0,15237,32269,66173,4485,143825,10296
2017,8290911,589666,207825,176505,206432,1784511,6249021,460218,1604863,192536,99134,10434,6249021,1604863,56406,8232,3529,731,3520,4813174,384167,1058226,197244,133530,0,11197,24070,62625,3459,134294,7241
2016,8052254,535083,172958,173007,171200,1683661,6115824,419338,1515040,157551,81300,7532,6115824,1515040,48951,8692,3552,652,2306,4637797,344399,970308,160898,130341,0,8203,22398,53517,2683,113465,5227
2015,8033574,462207,135817,160723,134802,1651179,6069598,360590,1493817,118243,61803,5279,6069598,1493817,47571,12829,4715,712,723,4466402,299972,915054,125120,123213,0,5991,15325,43450,2121,87851,3835
2014,7839765,360902,97039,134018,96820,1622733,5955086,282924,1478401,87108,46972,5939,5955086,1478401,42229,7538,2768,335,802,4253246,238509,845986,87612,100385,0,6274,8895,32066,2092,60835,4108
2013,7322964,236172,72561,62035,72220,1593450,5490436,184647,1454075,65151,35615,4102,5490436,1454075,23798,6510,2256,314,689,3334886,123441,742153,64152,40510,0,4416,6281,24604,1407,46155,2963
2012,7058084,198051,49769,37004,49329,1558276,5208874,152109,1426289,45486,24736,2773,5208874,1426289,20812,3583,1188,290,428,1891700,68300,518833,40902,14361,0,3063,5096,17054,919,31813,2064
2011,6765540,171100,41156,28736,41066,1555244,5006082,133264,1428535,38476,20676,2780,5006082,1428535,16781,2385,718,102,451,1076672,40999,416949,30915,8104,0,2882,3996,14359,784,26398,2098
2010,6407733,155705,33310,29252,33258,1452862,4770509,123960,1333869,32108,17249,2422,4770509,1333869,12796,1044,351,19,305,912342,31589,335991,21207,7516,0,2441,3953,10420,718,22249,1723
2009,5985873,124010,85380,19402,119,1317856,4452371,100035,1230570,117,52,1,4452371,1230570,10241,2,1,9,0,0,0,0,0,0,0,10,1740,0,0,0,0
